Season,Latitude,Longitude,FRP
DJF,6.0721,5.8006,109.6
DJF,6.0739,5.8888,53.3
DJF,6.0746,-2.2931,81.7
DJF,6.075,5.8733,84.9
DJF,6.0763,5.6905,111.8
DJF,6.0771,5.8293,105.7
DJF,6.0781,5.876,149.7
DJF,6.0796,6.5281,68.9
DJF,6.0814,5.7578,115.4
DJF,6.0829,7.9183,70.5
DJF,6.0836,-2.2944,80.9
DJF,6.0861,5.8302,55.0
DJF,6.088,5.8203,108.0
DJF,6.0901,5.4946,59.0
DJF,6.0912,5.3746,77.9
DJF,6.0972,5.3567,143.6
DJF,6.0977,0.3389,133.1
DJF,6.0984,6.5253,106.9
DJF,6.0999,-4.8023,112.7
DJF,6.101,5.3501,88.8
DJF,6.102,5.9227,123.7
DJF,6.103,5.7722,77.7
DJF,6.1043,5.7815,65.3
DJF,6.107,5.3384,148.3
DJF,6.1075,5.3468,75.0
DJF,6.1092,5.3551,256.1
DJF,6.1101,6.5328,64.8
DJF,6.112,5.4867,85.5
DJF,6.1145,5.4017,69.5
DJF,6.1152,5.8873,58.1
DJF,6.1158,5.8337,66.1
DJF,6.1159,5.4918,25.2
DJF,6.119,5.4997,28.6
DJF,6.1206,5.4355,103.4
DJF,6.1211,6.4787,61.3
DJF,6.1212,5.3535,166.4
DJF,6.1246,6.4453,137.3
DJF,6.1257,5.3685,214.7
DJF,6.1257,6.015,54.9
DJF,6.1258,5.4275,64.8
DJF,6.1282,5.3527,206.3
DJF,6.1291,5.5113,119.9
DJF,6.13,5.3634,228.6
DJF,6.131,8.5068,92.3
DJF,6.1313,-4.8496,100.7
DJF,6.1338,5.8845,91.6
DJF,6.1342,5.4598,98.2
DJF,6.1348,5.3608,80.3
DJF,6.1351,-0.2332,53.8
DJF,6.1352,5.8943,59.0
DJF,6.1357,5.4326,79.0
DJF,6.1371,-4.856,61.9
DJF,6.1372,5.4439,73.8
DJF,6.1385,6.4584,66.1
DJF,6.1408,5.5099,72.1
DJF,6.1414,5.4754,73.5
DJF,6.1468,5.9724,76.0
DJF,6.1578,6.1966,83.5
DJF,6.1596,5.5354,67.5
DJF,6.1607,0.6803,58.5
DJF,6.162,5.804,54.9
DJF,6.1623,5.775,250.7
DJF,6.1649,6.4825,145.0
DJF,6.1702,-0.1655,144.2
DJF,6.1714,7.8761,62.3
DJF,6.1729,6.4467,65.4
DJF,6.1765,8.3849,67.4
DJF,6.1776,6.4575,59.8
DJF,6.1833,-0.2162,91.3
DJF,6.1845,8.3953,212.1
DJF,6.1863,6.4397,116.7
DJF,6.1867,5.5588,177.9
DJF,6.1882,0.0155,63.5
DJF,6.1885,6.3182,59.8
DJF,6.1901,5.5516,130.9
DJF,6.1915,-0.2187,59.3
DJF,6.1926,5.3684,118.6
DJF,6.1928,6.3766,64.4
DJF,6.193,-0.2281,79.1
DJF,6.1933,6.0386,59.5
DJF,6.1938,-5.2533,59.4
DJF,6.1939,5.3773,53.1
DJF,6.1981,7.5851,74.4
DJF,6.2019,7.1653,60.7
DJF,6.211,8.5513,73.0
DJF,6.2111,-0.1473,76.2
DJF,6.2111,5.9653,23.0
DJF,6.2114,-0.0538,64.2
DJF,6.2161,8.4858,19.1
DJF,6.2184,5.8041,95.1
DJF,6.2198,5.4178,71.7
DJF,6.22,6.4132,67.4
DJF,6.2221,5.3711,280.0
DJF,6.2229,8.481,59.0
DJF,6.2242,8.4899,161.6
DJF,6.2258,6.4896,58.0
DJF,6.2266,-0.1791,32.9
DJF,6.2289,8.4971,59.6
DJF,6.2301,6.0037,23.0
DJF,6.2332,8.5485,121.1
DJF,6.2336,-4.9574,204.7
DJF,6.2337,-0.1674,25.2
DJF,6.2349,-4.9484,142.2
DJF,6.2367,5.3901,71.6
DJF,6.237,-0.1695,19.4
DJF,6.2375,5.4113,82.9
DJF,6.2377,-0.1132,66.8
DJF,6.2401,5.9379,195.2
DJF,6.2403,-5.3031,50.4
DJF,6.2412,5.9449,180.5
DJF,6.2432,5.9316,164.7
DJF,6.2438,-5.2782,235.0
DJF,6.2456,0.4487,60.0
DJF,6.2468,-1.5541,30.6
DJF,6.2481,5.9359,30.8
DJF,6.2483,0.3204,64.7
DJF,6.2543,-0.2409,66.2
DJF,6.2556,-0.2314,88.7
DJF,6.257,-0.2219,71.9
DJF,6.2606,-4.8968,94.3
DJF,6.2616,-0.1797,15.2
DJF,6.2641,-0.2296,71.6
DJF,6.2647,-0.193,41.4
DJF,6.2651,8.4609,86.4
DJF,6.2659,-0.1842,18.6
DJF,6.2711,-0.2073,108.0
DJF,6.2734,-0.1624,208.6
DJF,6.2743,5.2532,83.4
DJF,6.283,8.5156,340.6
DJF,6.2861,8.441,120.7
DJF,6.2873,8.5408,52.6
DJF,6.2875,8.5143,64.3
DJF,6.2883,8.4968,201.3
DJF,6.2901,8.4968,141.6
DJF,6.2902,8.5015,168.5
DJF,6.2903,-0.2152,144.2
DJF,6.2914,8.5196,386.2
DJF,6.2921,8.5137,319.9
DJF,6.2946,0.3513,196.5
DJF,6.2957,8.9387,25.5
DJF,6.2962,0.3618,162.7
DJF,6.2966,8.4839,294.6
DJF,6.2967,8.5137,212.6
DJF,6.2968,6.2681,107.3
DJF,6.299,8.5011,390.7
DJF,6.3003,5.8019,27.1
DJF,6.301,-0.1664,59.2
DJF,6.3022,8.4951,459.5
DJF,6.3093,8.6317,55.6
DJF,6.3107,8.5557,334.9
DJF,6.3119,8.5842,61.0
DJF,6.312,8.5263,165.3
DJF,6.3122,-4.3161,17.8
DJF,6.3132,8.5935,52.7
DJF,6.3141,8.6619,210.4
DJF,6.3145,8.5203,92.5
DJF,6.3149,5.6314,65.9
DJF,6.3164,5.6412,54.1
DJF,6.3166,8.6683,198.5
DJF,6.317,6.3513,53.5
DJF,6.3185,-0.1548,75.7
DJF,6.3197,8.6712,65.2
DJF,6.3199,-5.403,120.6
DJF,6.3199,-0.1642,55.9
DJF,6.3199,6.109,110.3
DJF,6.3202,5.834,80.7
DJF,6.3211,-0.2132,30.1
DJF,6.3214,-4.6926,133.1
DJF,6.3215,8.597,63.7
DJF,6.322,8.4975,100.6
DJF,6.3249,6.1162,89.0
DJF,6.3285,8.5262,93.0
DJF,6.3294,8.5104,127.7
DJF,6.3302,4.5919,104.7
DJF,6.3303,6.1752,105.1
DJF,6.3325,6.522,64.8
DJF,6.3337,6.3725,59.5
DJF,6.3353,5.9143,155.9
DJF,6.3371,8.5187,301.2
DJF,6.3382,5.8914,131.2
DJF,6.3392,6.1035,15.7
DJF,6.3402,4.5261,79.0
DJF,6.3403,6.5195,57.0
DJF,6.3407,0.8172,54.2
DJF,6.3415,-2.1153,37.7
DJF,6.3415,0.3351,24.0
DJF,6.3416,-4.27,23.8
DJF,6.342,6.5205,108.6
DJF,6.3428,8.5219,143.4
DJF,6.3431,6.106,21.8
DJF,6.347,6.0846,96.4
DJF,6.3477,-0.2856,106.3
DJF,6.348,5.8586,56.9
DJF,6.3508,-5.3159,52.1
DJF,6.351,0.4111,70.0
DJF,6.3518,0.3827,62.8
DJF,6.352,-5.3069,59.7
DJF,6.3523,6.2934,57.2
DJF,6.3531,0.4053,94.9
DJF,6.3532,0.7011,64.8
DJF,6.3553,6.3682,50.9
DJF,6.3565,8.9699,14.0
DJF,6.3573,4.4795,70.8
DJF,6.3588,-4.5936,93.2
DJF,6.3596,0.4505,85.0
DJF,6.3611,0.3934,118.9
DJF,6.3612,0.8174,84.5
DJF,6.3627,0.4038,471.2
DJF,6.363,6.6373,27.1
DJF,6.3632,6.2504,138.9
DJF,6.3637,6.3742,64.6
DJF,6.3645,0.024,23.0
DJF,6.365,4.4868,81.6
DJF,6.3667,-0.2662,59.4
DJF,6.367,0.3699,99.5
